## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=/home/modesto/data/freeDNA/gc/N1_gc_bias_PAE.pdf SUMMARY_OUTPUT=/home/modesto/data/freeDNA/gc/N1_gc_bias_PAE_summary_metrics.txt INPUT=/home/modesto/data/freeDNA/bowtie2/mapping_N1_result_PAE_sorted.bam OUTPUT=/home/modesto/data/freeDNA/gc/N1_gc_bias_PAE.txt REFERENCE_SEQUENCE=/home/modesto/data/freeDNA/refs/CP013113.1_PAER4.fasta    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Feb 08 16:09:03 CET 2022

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	0	5	0	0	0			
All Reads	ALL	1	0	0	0	0	0			
All Reads	ALL	2	0	0	0	0	0			
All Reads	ALL	3	0	0	0	0	0			
All Reads	ALL	4	0	0	0	0	0			
All Reads	ALL	5	0	0	0	0	0			
All Reads	ALL	6	0	0	0	0	0			
All Reads	ALL	7	0	0	0	0	0			
All Reads	ALL	8	0	0	0	0	0			
All Reads	ALL	9	0	0	0	0	0			
All Reads	ALL	10	0	0	0	0	0			
All Reads	ALL	11	0	0	0	0	0			
All Reads	ALL	12	0	0	0	0	0			
All Reads	ALL	13	0	0	0	0	0			
All Reads	ALL	14	0	0	0	0	0			
All Reads	ALL	15	0	0	0	0	0			
All Reads	ALL	16	0	0	0	0	0			
All Reads	ALL	17	0	0	0	0	0			
All Reads	ALL	18	0	0	0	0	0			
All Reads	ALL	19	0	0	0	0	0			
All Reads	ALL	20	0	0	0	0	0			
All Reads	ALL	21	4	0	0	0	0			
All Reads	ALL	22	17	0	0	0	0			
All Reads	ALL	23	40	2	0	0,703988	0,497795			
All Reads	ALL	24	68	5	25	1,035277	0,46299			
All Reads	ALL	25	79	3	21	0,534675	0,308695			
All Reads	ALL	26	110	5	0	0,63999	0,286212			
All Reads	ALL	27	161	15	31	1,31178	0,3387			
All Reads	ALL	28	190	13	0	0,963353	0,267186			
All Reads	ALL	29	291	20	22	0,967682	0,21638			
All Reads	ALL	30	382	23	26	0,847735	0,176765			
All Reads	ALL	31	526	44	28	1,177775	0,177556			
All Reads	ALL	32	666	48	27	1,014758	0,146468			
All Reads	ALL	33	937	68	24	1,021798	0,123911			
All Reads	ALL	34	1344	122	25	1,278074	0,115711			
All Reads	ALL	35	1877	141	27	1,057671	0,089072			
All Reads	ALL	36	2492	203	25	1,146948	0,0805			
All Reads	ALL	37	2960	264	24	1,255763	0,077287			
All Reads	ALL	38	3623	322	26	1,251362	0,069736			
All Reads	ALL	39	4419	395	28	1,258545	0,063324			
All Reads	ALL	40	5552	544	25	1,379574	0,059149			
All Reads	ALL	41	6744	660	27	1,377913	0,053635			
All Reads	ALL	42	7560	762	27	1,419151	0,05141			
All Reads	ALL	43	8902	901	26	1,425059	0,047476			
All Reads	ALL	44	10068	1076	25	1,504751	0,045873			
All Reads	ALL	45	11505	1294	24	1,583592	0,044023			
All Reads	ALL	46	13206	1476	24	1,573659	0,040961			
All Reads	ALL	47	14983	1684	24	1,582482	0,038563			
All Reads	ALL	48	16989	1971	24	1,633482	0,036793			
All Reads	ALL	49	19460	2294	23	1,659763	0,034654			
All Reads	ALL	50	22696	2749	22	1,705379	0,032526			
All Reads	ALL	51	26710	3061	22	1,61356	0,029164			
All Reads	ALL	52	32427	3678	21	1,596984	0,026333			
All Reads	ALL	53	38961	4482	22	1,61971	0,024194			
All Reads	ALL	54	46945	5349	22	1,604275	0,021935			
All Reads	ALL	55	56924	6093	23	1,507063	0,019307			
All Reads	ALL	56	69051	7170	24	1,461991	0,017266			
All Reads	ALL	57	87025	8482	24	1,372302	0,0149			
All Reads	ALL	58	110173	10423	25	1,332027	0,013047			
All Reads	ALL	59	140214	12209	26	1,225982	0,011095			
All Reads	ALL	60	177619	15273	27	1,210683	0,009796			
All Reads	ALL	61	220968	18073	27	1,151586	0,008566			
All Reads	ALL	62	271409	21286	27	1,104245	0,007569			
All Reads	ALL	63	323825	25036	27	1,088554	0,00688			
All Reads	ALL	64	371789	27650	28	1,047114	0,006297			
All Reads	ALL	65	415909	30465	28	1,031332	0,005909			
All Reads	ALL	66	451287	31901	28	0,995284	0,005572			
All Reads	ALL	67	473045	32466	28	0,966322	0,005363			
All Reads	ALL	68	475358	31539	28	0,934163	0,00526			
All Reads	ALL	69	458482	29278	28	0,899114	0,005255			
All Reads	ALL	70	428292	26782	28	0,880438	0,00538			
All Reads	ALL	71	384663	23375	28	0,855592	0,005596			
All Reads	ALL	72	329437	19363	28	0,827553	0,005947			
All Reads	ALL	73	272625	15433	27	0,79704	0,006416			
All Reads	ALL	74	215184	11845	28	0,775034	0,007121			
All Reads	ALL	75	161122	8603	27	0,75178	0,008105			
All Reads	ALL	76	114325	6107	27	0,752112	0,009624			
All Reads	ALL	77	76813	3874	27	0,710102	0,011409			
All Reads	ALL	78	48376	2440	27	0,710159	0,014377			
All Reads	ALL	79	29731	1408	27	0,666789	0,01777			
All Reads	ALL	80	17737	828	25	0,657273	0,022842			
All Reads	ALL	81	9989	472	27	0,665297	0,030623			
All Reads	ALL	82	5303	227	24	0,602698	0,040002			
All Reads	ALL	83	2646	105	27	0,558721	0,054526			
All Reads	ALL	84	1266	50	29	0,556073	0,078641			
All Reads	ALL	85	629	22	24	0,492456	0,104992			
All Reads	ALL	86	282	10	24	0,499283	0,157887			
All Reads	ALL	87	91	6	22	0,928336	0,378992			
All Reads	ALL	88	35	1	0	0,402279	0,402279			
All Reads	ALL	89	18	1	0	0,782209	0,782209			
All Reads	ALL	90	20	4	0	2,815954	1,407977			
All Reads	ALL	91	2	0	0	0	0			
All Reads	ALL	92	0	0	0	0	0			
All Reads	ALL	93	0	0	0	0	0			
All Reads	ALL	94	0	0	0	0	0			
All Reads	ALL	95	0	0	0	0	0			
All Reads	ALL	96	0	0	0	0	0			
All Reads	ALL	97	0	0	0	0	0			
All Reads	ALL	98	0	0	0	0	0			
All Reads	ALL	99	0	0	0	0	0			
All Reads	ALL	100	0	0	0	0	0			


