## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=/home/modesto/data/freeDNA/gc/N4_gc_bias_coli.pdf SUMMARY_OUTPUT=/home/modesto/data/freeDNA/gc/N4_gc_bias_coli_summary_metrics.txt INPUT=/home/modesto/data/freeDNA/bowtie2/mapping_N4_result_coli_sorted.bam OUTPUT=/home/modesto/data/freeDNA/gc/N4_gc_bias_coli.txt REFERENCE_SEQUENCE=/home/modesto/data/freeDNA/refs/NC_000913.3.fasta    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Feb 08 16:03:21 CET 2022

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	0	94	15	0	0			
All Reads	ALL	1	0	0	0	0	0			
All Reads	ALL	2	0	0	0	0	0			
All Reads	ALL	3	0	0	0	0	0			
All Reads	ALL	4	0	0	0	0	0			
All Reads	ALL	5	0	0	0	0	0			
All Reads	ALL	6	0	0	0	0	0			
All Reads	ALL	7	0	0	0	0	0			
All Reads	ALL	8	0	0	0	0	0			
All Reads	ALL	9	0	0	0	0	0			
All Reads	ALL	10	0	0	0	0	0			
All Reads	ALL	11	0	0	0	0	0			
All Reads	ALL	12	4	42	35	2,545234	0,392738			
All Reads	ALL	13	23	184	31	1,939226	0,142962			
All Reads	ALL	14	30	234	32	1,890745	0,123602			
All Reads	ALL	15	93	604	28	1,574318	0,064058			
All Reads	ALL	16	149	917	30	1,491838	0,049265			
All Reads	ALL	17	242	1580	30	1,582633	0,039815			
All Reads	ALL	18	354	2389	29	1,63588	0,033469			
All Reads	ALL	19	618	4114	30	1,613668	0,025158			
All Reads	ALL	20	860	6077	30	1,712889	0,021973			
All Reads	ALL	21	1358	9495	30	1,694859	0,017393			
All Reads	ALL	22	1825	12371	29	1,643162	0,014773			
All Reads	ALL	23	2782	18868	29	1,64402	0,011969			
All Reads	ALL	24	3544	23368	29	1,598329	0,010456			
All Reads	ALL	25	4714	31049	29	1,596601	0,009061			
All Reads	ALL	26	6193	40995	29	1,604605	0,007925			
