## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=/home/modesto/data/freeDNA/gc/N6_gc_bias_metagenome.pdf SUMMARY_OUTPUT=/home/modesto/data/freeDNA/gc/N6_gc_bias_metagenome_summary_metrics.txt INPUT=/home/modesto/data/freeDNA/bowtie2/mapping_N6_metagenome_sorted.bam OUTPUT=/home/modesto/data/freeDNA/gc/N6_gc_bias_metagenome.txt REFERENCE_SEQUENCE=/home/modesto/data/freeDNA/refs/metagenome.fasta    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Apr 27 19:11:56 CEST 2022

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	0	1743	32	0	0			
All Reads	ALL	1	0	0	0	0	0			
All Reads	ALL	2	0	0	0	0	0			
All Reads	ALL	3	0	0	0	0	0			
All Reads	ALL	4	0	0	0	0	0			
All Reads	ALL	5	0	0	0	0	0			
All Reads	ALL	6	0	0	0	0	0			
All Reads	ALL	7	0	0	0	0	0			
All Reads	ALL	8	0	0	0	0	0			
All Reads	ALL	9	0	0	0	0	0			
All Reads	ALL	10	2	1	0	0,075576	0,075576			
All Reads	ALL	11	3	4	0	0,201536	0,100768			
All Reads	ALL	12	18	13	21	0,109165	0,030277			
All Reads	ALL	13	61	74	31	0,183365	0,021316			
All Reads	ALL	14	99	122	30	0,186268	0,016864			
All Reads	ALL	15	232	340	29	0,221516	0,012013			
All Reads	ALL	16	414	615	29	0,224537	0,009054			
All Reads	ALL	17	657	1002	30	0,230524	0,007283			
All Reads	ALL	18	1179	1946	30	0,249484	0,005656			
All Reads	ALL	19	1961	3456	30	0,266385	0,004531			
All Reads	ALL	20	2947	4758	29	0,244038	0,003538			
All Reads	ALL	21	4428	6897	30	0,235433	0,002835			
All Reads	ALL	22	6577	9822	29	0,225728	0,002278			
All Reads	ALL	23	10038	14986	29	0,225659	0,001843			
All Reads	ALL	24	13131	19427	29	0,223626	0,001604			
All Reads	ALL	25	16968	25369	30	0,225989	0,001419			
All Reads	ALL	26	22322	32985	29	0,223356	0,00123			
