## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=/home/modesto/data/freeDNA/gc/N2_gc_bias_metagenome.pdf SUMMARY_OUTPUT=/home/modesto/data/freeDNA/gc/N2_gc_bias_metagenome_summary_metrics.txt INPUT=/home/modesto/data/freeDNA/bowtie2/mapping_N2_metagenome_sorted.bam OUTPUT=/home/modesto/data/freeDNA/gc/N2_gc_bias_metagenome.txt REFERENCE_SEQUENCE=/home/modesto/data/freeDNA/refs/metagenome.fasta    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Apr 27 19:06:21 CEST 2022

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	0	1666	32	0	0			
All Reads	ALL	1	0	0	0	0	0			
All Reads	ALL	2	0	0	0	0	0			
All Reads	ALL	3	0	0	0	0	0			
All Reads	ALL	4	0	0	0	0	0			
All Reads	ALL	5	0	0	0	0	0			
All Reads	ALL	6	0	0	0	0	0			
All Reads	ALL	7	0	0	0	0	0			
All Reads	ALL	8	0	0	0	0	0			
All Reads	ALL	9	0	0	0	0	0			
All Reads	ALL	10	2	1	0	0,072774	0,072774			
All Reads	ALL	11	3	3	19	0,145548	0,084032			
All Reads	ALL	12	18	41	26	0,331525	0,051776			
All Reads	ALL	13	61	129	29	0,307798	0,0271			
All Reads	ALL	14	99	200	28	0,294036	0,020791			
All Reads	ALL	15	232	622	27	0,390219	0,015646			
All Reads	ALL	16	414	996	27	0,350158	0,011095			
All Reads	ALL	17	657	1742	28	0,385912	0,009246			
All Reads	ALL	18	1179	3276	28	0,404423	0,007066			
All Reads	ALL	19	1961	5900	28	0,437905	0,005701			
All Reads	ALL	20	2947	8024	28	0,396293	0,004424			
All Reads	ALL	21	4428	11461	28	0,376721	0,003519			
All Reads	ALL	22	6577	16738	28	0,370409	0,002863			
All Reads	ALL	23	10038	25039	28	0,363057	0,002294			
All Reads	ALL	24	13131	33088	28	0,366757	0,002016			
All Reads	ALL	25	16968	41665	28	0,357393	0,001751			
All Reads	ALL	26	22322	53507	28	0,348886	0,001508			
All Reads	ALL	27	28292	67658	28	0,348065	0,001338			
All Reads	ALL	28	36690	87869	28	0,348573	0,001176			
All Reads	ALL	29	47001	111262	28	0,344544	0,001033			
All Reads	ALL	30	58328	137227	28	0,342427	0,000924			
All Reads	ALL	31	70344	167649	28	0,34688	0,000847			
All Reads	ALL	32	83849	200348	28	0,34777	0,000777			
All Reads	ALL	33	101838	245317	29	0,350609	0,000708			
All Reads	ALL	34	119577	295780	29	0,36002	0,000662			
All Reads	ALL	35	138734	351687	29	0,36896	0,000622			
All Reads	ALL	36	159611	413668	29	0,37722	0,000587			
All Reads	ALL	37	181203	478199	29	0,384104	0,000555			
All Reads	ALL	38	205339	559432	29	0,396535	0,00053			
All Reads	ALL	39	232452	647868	29	0,405657	0,000504			
All Reads	ALL	40	262352	749797	29	0,415973	0,00048			
All Reads	ALL	41	289362	845691	29	0,425379	0,000463			
All Reads	ALL	42	317347	953119	29	0,437138	0,000448			
All Reads	ALL	43	342040	1064399	29	0,452932	0,000439			
All Reads	ALL	44	365406	1175143	29	0,46808	0,000432			
All Reads	ALL	45	387317	1293743	29	0,486169	0,000427			
All Reads	ALL	46	406405	1411411	29	0,505475	0,000425			
All Reads	ALL	47	422871	1532006	29	0,5273	0,000426			
All Reads	ALL	48	436752	1646366	29	0,548652	0,000428			
All Reads	ALL	49	445505	1760321	29	0,575102	0,000433			
All Reads	ALL	50	451658	1869353	30	0,602403	0,000441			
All Reads	ALL	51	456692	1979567	30	0,630888	0,000448			
All Reads	ALL	52	455090	2054057	30	0,656932	0,000458			
All Reads	ALL	53	447841	2101687	30	0,683046	0,000471			
All Reads	ALL	54	429853	2119106	30	0,717527	0,000493			
All Reads	ALL	55	405343	2110643	30	0,757875	0,000522			
All Reads	ALL	56	377543	2103880	30	0,811073	0,000559			
All Reads	ALL	57	353993	2140167	29	0,879951	0,000601			
All Reads	ALL	58	338145	2244896	29	0,96627	0,000645			
All Reads	ALL	59	329892	2406621	30	1,061797	0,000684			
All Reads	ALL	60	333301	2655667	30	1,159691	0,000712			
All Reads	ALL	61	351119	3023354	30	1,253257	0,000721			
All Reads	ALL	62	384616	3526339	30	1,33445	0,000711			
All Reads	ALL	63	427987	4092343	30	1,391704	0,000688			
All Reads	ALL	64	475965	4670422	30	1,428192	0,000661			
All Reads	ALL	65	527593	5269635	30	1,453741	0,000633			
All Reads	ALL	66	575783	5806116	30	1,467683	0,000609			
All Reads	ALL	67	614146	6214708	30	1,472837	0,000591			
All Reads	ALL	68	634249	6436399	29	1,477028	0,000582			
All Reads	ALL	69	634200	6451036	29	1,480501	0,000583			
All Reads	ALL	70	617734	6270019	29	1,477314	0,00059			
All Reads	ALL	71	582209	5889207	29	1,472256	0,000607			
All Reads	ALL	72	529033	5336027	29	1,46805	0,000636			
All Reads	ALL	73	467484	4717952	29	1,4689	0,000676			
All Reads	ALL	74	396863	3991467	29	1,463853	0,000733			
All Reads	ALL	75	325426	3256702	29	1,45657	0,000807			
All Reads	ALL	76	258782	2578248	29	1,450094	0,000903			
All Reads	ALL	77	198358	1959191	28	1,437582	0,001027			
All Reads	ALL	78	146188	1430345	28	1,42408	0,001191			
All Reads	ALL	79	105011	1019106	28	1,412505	0,001399			
All Reads	ALL	80	73676	702177	27	1,387158	0,001655			
All Reads	ALL	81	49418	467172	27	1,375932	0,002013			
All Reads	ALL	82	33292	311492	26	1,361797	0,00244			
All Reads	ALL	83	22130	207346	26	1,363703	0,002995			
All Reads	ALL	84	13340	123891	25	1,351728	0,00384			
All Reads	ALL	85	7582	70473	25	1,352834	0,005096			
All Reads	ALL	86	4134	38285	24	1,347919	0,006889			
All Reads	ALL	87	1878	16530	24	1,281099	0,009964			
All Reads	ALL	88	879	7990	23	1,323011	0,014801			
All Reads	ALL	89	326	2461	22	1,098751	0,022148			
All Reads	ALL	90	69	374	22	0,788911	0,040794			
All Reads	ALL	91	11	115	18	1,521635	0,141893			
All Reads	ALL	92	5	15	20	0,436643	0,112741			
All Reads	ALL	93	4	7	20	0,254709	0,096271			
All Reads	ALL	94	0	0	0	0	0			
All Reads	ALL	95	0	0	0	0	0			
All Reads	ALL	96	0	0	0	0	0			
All Reads	ALL	97	0	0	0	0	0			
All Reads	ALL	98	0	0	0	0	0			
All Reads	ALL	99	0	0	0	0	0			
All Reads	ALL	100	0	0	0	0	0			


