## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=/home/modesto/data/freeDNA/gc/N2_gc_bias_PAE.pdf SUMMARY_OUTPUT=/home/modesto/data/freeDNA/gc/N2_gc_bias_PAE_summary_metrics.txt INPUT=/home/modesto/data/freeDNA/bowtie2/mapping_N2_result_PAE_sorted.bam OUTPUT=/home/modesto/data/freeDNA/gc/N2_gc_bias_PAE.txt REFERENCE_SEQUENCE=/home/modesto/data/freeDNA/refs/CP013113.1_PAER4.fasta    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Feb 08 16:01:23 CET 2022

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	0	112	15	0	0			
All Reads	ALL	1	0	0	0	0	0			
All Reads	ALL	2	0	0	0	0	0			
All Reads	ALL	3	0	0	0	0	0			
All Reads	ALL	4	0	0	0	0	0			
All Reads	ALL	5	0	0	0	0	0			
All Reads	ALL	6	0	0	0	0	0			
All Reads	ALL	7	0	0	0	0	0			
All Reads	ALL	8	0	0	0	0	0			
All Reads	ALL	9	0	0	0	0	0			
All Reads	ALL	10	0	0	0	0	0			
All Reads	ALL	11	0	0	0	0	0			
All Reads	ALL	12	0	0	0	0	0			
All Reads	ALL	13	0	0	0	0	0			
All Reads	ALL	14	0	0	0	0	0			
All Reads	ALL	15	0	0	0	0	0			
All Reads	ALL	16	0	0	0	0	0			
All Reads	ALL	17	0	0	0	0	0			
All Reads	ALL	18	0	0	0	0	0			
All Reads	ALL	19	0	0	0	0	0			
All Reads	ALL	20	0	0	0	0	0			
All Reads	ALL	21	4	5	0	0,140602	0,062879			
All Reads	ALL	22	17	62	24	0,410226	0,052099			
All Reads	ALL	23	40	107	28	0,300887	0,029088			
All Reads	ALL	24	68	336	28	0,55579	0,030321			
All Reads	ALL	25	79	358	26	0,509725	0,02694			
All Reads	ALL	26	110	649	28	0,663639	0,02605			
All Reads	ALL	27	161	1068	28	0,746149	0,022832			
All Reads	ALL	28	190	1548	27	0,916426	0,023292			
All Reads	ALL	29	291	1854	28	0,716633	0,016643			
All Reads	ALL	30	382	2455	28	0,722883	0,01459			
All Reads	ALL	31	526	2604	29	0,556846	0,010912			
All Reads	ALL	32	666	3179	28	0,536904	0,009523			
All Reads	ALL	33	937	4221	28	0,506706	0,007799			
All Reads	ALL	34	1344	5845	28	0,489176	0,006398			
All Reads	ALL	35	1877	8499	28	0,509312	0,005525			
All Reads	ALL	36	2492	11144	28	0,503006	0,004765			
All Reads	ALL	37	2960	14170	27	0,538466	0,004523			
All Reads	ALL	38	3623	18242	27	0,566349	0,004193			
All Reads	ALL	39	4419	22768	27	0,579537	0,003841			
All Reads	ALL	40	5552	28210	27	0,571523	0,003403			
All Reads	ALL	41	6744	35886	27	0,598532	0,00316			
All Reads	ALL	42	7560	43546	27	0,647898	0,003105			
All Reads	ALL	43	8902	53945	27	0,681622	0,002935			
All Reads	ALL	44	10068	63787	27	0,712638	0,002822			
All Reads	ALL	45	11505	76305	27	0,746013	0,002701			
All Reads	ALL	46	13206	89830	27	0,765121	0,002553			
All Reads	ALL	47	14983	107077	27	0,803855	0,002457			
All Reads	ALL	48	16989	124688	27	0,825538	0,002338			
All Reads	ALL	49	19460	149008	27	0,861285	0,002231			
All Reads	ALL	50	22696	178248	26	0,883396	0,002092			
All Reads	ALL	51	26710	217560	26	0,91619	0,001964			
All Reads	ALL	52	32427	272640	26	0,945721	0,001811			
All Reads	ALL	53	38961	333032	26	0,961471	0,001666			
All Reads	ALL	54	46945	407771	26	0,977028	0,00153			
All Reads	ALL	55	56924	508345	27	1,004485	0,001409			
All Reads	ALL	56	69051	634775	27	1,034023	0,001298			
All Reads	ALL	57	87025	812094	27	1,049645	0,001165			
All Reads	ALL	58	110173	1049753	27	1,071747	0,001046			
All Reads	ALL	59	140214	1332973	28	1,069326	0,000926			
All Reads	ALL	60	177619	1685789	28	1,067564	0,000822			
All Reads	ALL	61	220968	2092269	28	1,065046	0,000736			
All Reads	ALL	62	271409	2570706	28	1,065389	0,000664			
All Reads	ALL	63	323825	3058957	28	1,062535	0,000608			
All Reads	ALL	64	371789	3490678	28	1,056072	0,000565			
All Reads	ALL	65	415909	3883791	29	1,050359	0,000533			
All Reads	ALL	66	451287	4173886	29	1,040322	0,000509			
All Reads	ALL	67	473045	4329669	28	1,029514	0,000495			
All Reads	ALL	68	475358	4296047	28	1,016549	0,00049			
All Reads	ALL	69	458482	4088212	28	1,002978	0,000496			
All Reads	ALL	70	428292	3774458	28	0,991276	0,00051			
All Reads	ALL	71	384663	3325200	28	0,972339	0,000533			
All Reads	ALL	72	329437	2790399	28	0,952739	0,00057			
All Reads	ALL	73	272625	2277206	28	0,939543	0,000623			
All Reads	ALL	74	215184	1764094	28	0,922129	0,000694			
All Reads	ALL	75	161122	1290276	28	0,900758	0,000793			
All Reads	ALL	76	114325	892918	27	0,878518	0,00093			
All Reads	ALL	77	76813	584790	27	0,856338	0,00112			
All Reads	ALL	78	48376	359473	27	0,835827	0,001394			
All Reads	ALL	79	29731	215791	27	0,816402	0,001757			
All Reads	ALL	80	17737	125801	26	0,797782	0,002249			
All Reads	ALL	81	9989	70281	26	0,7914	0,002985			
All Reads	ALL	82	5303	35694	25	0,757101	0,004007			
All Reads	ALL	83	2646	17939	25	0,762585	0,005694			
All Reads	ALL	84	1266	7962	24	0,707406	0,007928			
All Reads	ALL	85	629	3982	24	0,712083	0,011284			
All Reads	ALL	86	282	1909	24	0,761442	0,017427			
All Reads	ALL	87	91	690	24	0,85288	0,032469			
All Reads	ALL	88	35	211	24	0,678101	0,046682			
All Reads	ALL	89	18	85	23	0,531161	0,057613			
All Reads	ALL	90	20	65	23	0,365564	0,045343			
All Reads	ALL	91	2	2	0	0,112481	0,079536			
All Reads	ALL	92	0	0	0	0	0			
All Reads	ALL	93	0	0	0	0	0			
All Reads	ALL	94	0	0	0	0	0			
All Reads	ALL	95	0	0	0	0	0			
All Reads	ALL	96	0	0	0	0	0			
All Reads	ALL	97	0	0	0	0	0			
All Reads	ALL	98	0	0	0	0	0			
All Reads	ALL	99	0	0	0	0	0			
All Reads	ALL	100	0	0	0	0	0			


