## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=/home/modesto/data/freeDNA/gc/N1_gc_bias_subtilis.pdf SUMMARY_OUTPUT=/home/modesto/data/freeDNA/gc/N1_gc_bias_subtilis_summary_metrics.txt INPUT=/home/modesto/data/freeDNA/bowtie2/mapping_N1_result_subtilis_sorted.bam OUTPUT=/home/modesto/data/freeDNA/gc/N1_gc_bias_subtilis.txt REFERENCE_SEQUENCE=/home/modesto/data/freeDNA/refs/NC_000964.3.fasta    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Feb 08 16:08:52 CET 2022

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	0	4	0	0	0			
All Reads	ALL	1	0	0	0	0	0			
All Reads	ALL	2	0	0	0	0	0			
All Reads	ALL	3	0	0	0	0	0			
All Reads	ALL	4	0	0	0	0	0			
All Reads	ALL	5	0	0	0	0	0			
All Reads	ALL	6	0	0	0	0	0			
All Reads	ALL	7	0	0	0	0	0			
All Reads	ALL	8	0	0	0	0	0			
All Reads	ALL	9	0	0	0	0	0			
All Reads	ALL	10	2	0	0	0	0			
All Reads	ALL	11	3	0	0	0	0			
All Reads	ALL	12	14	1	19	0,044751	0,044751			
All Reads	ALL	13	38	2	22	0,032975	0,023317			
All Reads	ALL	14	69	4	24	0,03632	0,01816			
All Reads	ALL	15	139	8	28	0,036059	0,012749			
All Reads	ALL	16	265	22	29	0,052013	0,011089			
All Reads	ALL	17	415	41	22	0,061897	0,009667			
All Reads	ALL	18	825	73	23	0,055437	0,006488			
All Reads	ALL	19	1343	122	26	0,056914	0,005153			
All Reads	ALL	20	2087	214	25	0,064243	0,004392			
All Reads	ALL	21	3066	307	25	0,062734	0,00358			
All Reads	ALL	22	4735	424	25	0,056102	0,002725			
All Reads	ALL	23	7216	663	24	0,057564	0,002236			
All Reads	ALL	24	9519	928	25	0,061079	0,002005			
All Reads	ALL	25	12175	1155	26	0,059436	0,001749			
All Reads	ALL	26	16011	1484	25	0,05807	0,001507			
All Reads	ALL	27	20290	1952	25	0,060274	0,001364			
All Reads	ALL	28	26239	2645	25	0,063156	0,001228			
All Reads	ALL	29	34142	3672	26	0,067383	0,001112			
All Reads	ALL	30	42965	4692	26	0,068419	0,000999			
All Reads	ALL	31	52238	5963	26	0,071517	0,000926			
All Reads	ALL	32	63055	7363	26	0,073159	0,000853			
All Reads	ALL	33	77300	9945	26	0,080604	0,000808			
All Reads	ALL	34	90557	12442	26	0,08608	0,000772			
All Reads	ALL	35	105249	15551	26	0,092571	0,000742			
All Reads	ALL	36	121174	17474	26	0,090348	0,000683			
All Reads	ALL	37	138318	31555	24	0,14293	0,000805			
All Reads	ALL	38	155837	84233	24	0,338645	0,001167			
All Reads	ALL	39	174604	89383	25	0,320726	0,001073			
All Reads	ALL	40	193878	287526	27	0,929142	0,001733			
All Reads	ALL	41	209876	439562	26	1,312172	0,001979			
All Reads	ALL	42	224237	446828	23	1,248437	0,001868			
All Reads	ALL	43	233118	767767	19	2,063418	0,002355			
All Reads	ALL	44	238368	676551	22	1,778222	0,002162			
All Reads	ALL	45	239060	616038	22	1,614485	0,002057			
All Reads	ALL	46	234505	1093737	20	2,922095	0,002794			
All Reads	ALL	47	225221	370818	23	1,031538	0,001694			
All Reads	ALL	48	209803	329799	21	0,984852	0,001715			
All Reads	ALL	49	189718	154237	27	0,509347	0,001297			
All Reads	ALL	50	169001	28745	27	0,106563	0,000629			
All Reads	ALL	51	146983	46153	24	0,196728	0,000916			
All Reads	ALL	52	126311	123671	23	0,613423	0,001744			
All Reads	ALL	53	105383	232441	22	1,381897	0,002866			
All Reads	ALL	54	84250	134876	25	1,002994	0,002731			
All Reads	ALL	55	65472	134616	20	1,288174	0,003511			
All Reads	ALL	56	49080	292706	21	3,736462	0,006906			
All Reads	ALL	57	36190	75137	22	1,300765	0,004745			
All Reads	ALL	58	26321	7440	22	0,177094	0,002053			
All Reads	ALL	59	18173	64240	33	2,214687	0,008738			
All Reads	ALL	60	11966	5465	24	0,286137	0,003871			
All Reads	ALL	61	7628	104747	38	8,603287	0,026582			
All Reads	ALL	62	4915	1044	24	0,133079	0,004119			
All Reads	ALL	63	2703	1506	24	0,34907	0,008995			
All Reads	ALL	64	1575	281	24	0,111779	0,006668			
All Reads	ALL	65	857	103	28	0,075299	0,007419			
All Reads	ALL	66	435	41	24	0,059051	0,009222			
All Reads	ALL	67	200	16	28	0,050121	0,01253			
All Reads	ALL	68	100	15	0	0,093978	0,024265			
All Reads	ALL	69	82	12	29	0,091686	0,026467			
All Reads	ALL	70	65	10	0	0,096387	0,03048			
All Reads	ALL	71	49	7	0	0,089503	0,033829			
All Reads	ALL	72	69	4	16	0,03632	0,01816			
