## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=/home/modesto/data/freeDNA/gc/N6_gc_bias_subtilis.pdf SUMMARY_OUTPUT=/home/modesto/data/freeDNA/gc/N6_gc_bias_subtilis_summary_metrics.txt INPUT=/home/modesto/data/freeDNA/bowtie2/mapping_N6_result_subtilis_sorted.bam OUTPUT=/home/modesto/data/freeDNA/gc/N6_gc_bias_subtilis.txt REFERENCE_SEQUENCE=/home/modesto/data/freeDNA/refs/NC_000964.3.fasta    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Feb 08 16:06:16 CET 2022

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	0	32	13	0	0			
All Reads	ALL	1	0	0	0	0	0			
All Reads	ALL	2	0	0	0	0	0			
All Reads	ALL	3	0	0	0	0	0			
All Reads	ALL	4	0	0	0	0	0			
All Reads	ALL	5	0	0	0	0	0			
All Reads	ALL	6	0	0	0	0	0			
All Reads	ALL	7	0	0	0	0	0			
All Reads	ALL	8	0	0	0	0	0			
All Reads	ALL	9	0	0	0	0	0			
All Reads	ALL	10	2	1	0	0,289934	0,289934			
All Reads	ALL	11	3	4	0	0,773157	0,386578			
All Reads	ALL	12	14	5	19	0,207096	0,092616			
All Reads	ALL	13	38	25	25	0,381492	0,076298			
All Reads	ALL	14	69	62	30	0,52104	0,066172			
All Reads	ALL	15	139	120	28	0,500605	0,045699			
All Reads	ALL	16	265	246	27	0,538292	0,03432			
All Reads	ALL	17	415	487	30	0,680471	0,030835			
All Reads	ALL	18	825	1035	28	0,72747	0,022612			
All Reads	ALL	19	1343	1765	28	0,762074	0,018139			
All Reads	ALL	20	2087	2582	29	0,717402	0,014118			
All Reads	ALL	21	3066	3603	27	0,681429	0,011352			
All Reads	ALL	22	4735	5301	28	0,649182	0,008916			
All Reads	ALL	23	7216	7927	28	0,637002	0,007155			
All Reads	ALL	24	9519	10769	28	0,656013	0,006322			
All Reads	ALL	25	12175	13751	28	0,654929	0,005585			
All Reads	ALL	26	16011	17745	28	0,642667	0,004824			
All Reads	ALL	27	20290	23064	28	0,659145	0,00434			
All Reads	ALL	28	26239	30413	28	0,672111	0,003854			
All Reads	ALL	29	34142	39777	28	0,675572	0,003387			
All Reads	ALL	30	42965	51793	28	0,699013	0,003071			
All Reads	ALL	31	52238	64290	28	0,713651	0,002815			
All Reads	ALL	32	63055	81624	28	0,750632	0,002627			
All Reads	ALL	33	77300	103300	28	0,774907	0,002411			
All Reads	ALL	34	90557	125850	28	0,805861	0,002272			
All Reads	ALL	35	105249	151136	28	0,832681	0,002142			
