Sample	mapping_N6_result_coli_sorted	mapping_N6_result_subtilis_sorted	mapping_N6_result_PAE_sorted	mapping_N6_result_kocuria_sorted
Library	DefaultLib	DefaultLib	DefaultLib	DefaultLib
#QCFail	0	0	0	0
QCFailFraction	0	0	0	0
#DuplicateMarked	0	0	0	0
DuplicateFraction	0	0	0	0
#Unmapped	0	0	0	0
UnmappedFraction	0	0	0	0
#Mapped	13479867	7269786	46278712	52170620
MappedFraction	1	1	1	1
#MappedRead1	13479867	7269786	46278712	27432750
#MappedRead2	0	0	0	24737870
RatioMapped2vsMapped1	0	0	0	0.901764
#MappedForward	6739097	3634261	23137467	26096705
MappedForwardFraction	0.499938	0.499913	0.499959	0.500218
#MappedReverse	6740770	3635525	23141245	26073915
MappedReverseFraction	0.500062	0.500087	0.500041	0.499782
#SecondaryAlignments	0	0	0	0
SecondaryAlignmentFraction	0	0	0	0
#SupplementaryAlignments	0	0	0	0
SupplementaryAlignmentFraction	0	0	0	0
#SplicedAlignments	0	0	0	0
SplicedAlignmentFraction	0	0	0	0
#Pairs	0	0	0	24840219
#MappedPairs	0	0	0	24689755
MappedPairsFraction	0	0	0	0.993943
#MappedSameChr	0	0	0	24689755
MappedSameChrFraction	0	0	0	0.993943
#MappedProperPair	0	0	0	19753009
MappedProperFraction	0	0	0	0.795203
#ReferenceBp	4641652	4215606	6504659	2696980
#ReferenceNs	0	0	0	0
#AlignedBases	1005738922	541917244	3437575382	3821113837
#MatchedBases	1004507172	541250844	3433496307	3817636386
MatchRate	0.998775	0.99877	0.998813	0.99909
#MismatchedBases	1231750	666400	4079075	3477451
MismatchRate	0.00122472	0.00122971	0.00118661	0.000910062
#DeletionsCigarD	27149	16286	86130	95576
DeletionRate	2.69941e-05	3.00526e-05	2.50555e-05	2.50126e-05
HomopolymerContextDel	0.25128	0.353739	0.218333	0.329915
#InsertionsCigarI	96984	80312	189880	788145
InsertionRate	9.64306e-05	0.0001482	5.52366e-05	0.000206261
HomopolymerContextIns	0.617133	0.753524	0.430087	0.376844
#SoftClippedBases	0	0	0	2034346
SoftClipRate	0	0	0	0.000532396
#HardClippedBases	0	0	0	0
HardClipRate	0	0	0	0
ErrorRate	0.00134815	0.00140796	0.00126691	0.00167373
MedianReadLength	76	76	76	76:76
DefaultLibraryLayout	0	0	0	2
MedianInsertSize	0	0	0	409
MedianCoverage	210	122	521	1335
SDCoverage	19.2001	21.3541	26.9876	71.9917
CoveredBp	4637311	4082229	6335465	2696980
FractionCovered	0.999065	0.968361	0.973989	1
BpCov1ToCovNRatio	1.5095e-06	3.16004e-05	5.12985e-05	1.11236e-06
BpCov1ToCov2Ratio	3.5	1.5	1.90058	1.5
MedianMAPQ	42	42	42	44
