Sample	mapping_N2_result_coli_sorted	mapping_N2_result_subtilis_sorted	mapping_N2_result_PAE_sorted	mapping_N2_result_kocuria_sorted
Library	DefaultLib	DefaultLib	DefaultLib	DefaultLib
#QCFail	0	0	0	0
QCFailFraction	0	0	0	0
#DuplicateMarked	0	0	0	0
DuplicateFraction	0	0	0	0
#Unmapped	0	0	0	0
UnmappedFraction	0	0	0	0
#Mapped	21727744	10053884	57828063	33819586
MappedFraction	1	1	1	1
#MappedRead1	21727744	10053884	57828063	17789632
#MappedRead2	0	0	0	16029954
RatioMapped2vsMapped1	0	0	0	0.901084
#MappedForward	10863675	5025668	28909729	16917847
MappedForwardFraction	0.499991	0.499873	0.499926	0.500238
#MappedReverse	10864069	5028216	28918334	16901739
MappedReverseFraction	0.500009	0.500127	0.500074	0.499762
#SecondaryAlignments	0	0	0	0
SecondaryAlignmentFraction	0	0	0	0
#SupplementaryAlignments	0	0	0	0
SupplementaryAlignmentFraction	0	0	0	0
#SplicedAlignments	0	0	0	0
SplicedAlignmentFraction	0	0	0	0
#Pairs	0	0	0	16091863
#MappedPairs	0	0	0	16000806
MappedPairsFraction	0	0	0	0.994341
#MappedSameChr	0	0	0	16000806
MappedSameChrFraction	0	0	0	0.994341
#MappedProperPair	0	0	0	11967907
MappedProperFraction	0	0	0	0.743724
#ReferenceBp	4641652	4215606	6504659	2696980
#ReferenceNs	0	0	0	0
#AlignedBases	1618695471	748028102	4292566421	2470462405
#MatchedBases	1616541495	747003309	4286924435	2468051257
MatchRate	0.998669	0.99863	0.998686	0.999024
#MismatchedBases	2153976	1024793	5641986	2411148
MismatchRate	0.00133069	0.00136999	0.00131436	0.000975991
#DeletionsCigarD	51176	27318	127025	70431
DeletionRate	3.16156e-05	3.652e-05	2.95919e-05	2.85092e-05
HomopolymerContextDel	0.253224	0.362801	0.206085	0.312277
#InsertionsCigarI	264179	191578	369044	656403
InsertionRate	0.000163205	0.000256111	8.59728e-05	0.0002657
HomopolymerContextIns	0.670008	0.796438	0.480059	0.416065
#SoftClippedBases	0	0	0	1605680
SoftClipRate	0	0	0	0.000649951
#HardClippedBases	0	0	0	0
HardClipRate	0	0	0	0
ErrorRate	0.00152551	0.00166262	0.00142993	0.00192015
MedianReadLength	76	76	76	76:76
DefaultLibraryLayout	0	0	0	2
MedianInsertSize	0	0	0	422
MedianCoverage	329	161	638	844
SDCoverage	28.5296	28.8343	36.9924	74.3559
CoveredBp	4637314	4082468	6335763	2696980
FractionCovered	0.999065	0.968418	0.974035	1
BpCov1ToCovNRatio	1.50949e-06	5.78082e-05	4.79816e-05	0
BpCov1ToCov2Ratio	2.33333	2.26923	1.75723	0
MedianMAPQ	42	42	42	44
