Sample                          mapping_N4_result_PAE_sorted
Library                         DefaultLib
#QCFail                         0
QCFailFraction                  0
#DuplicateMarked                0
DuplicateFraction               0
#Unmapped                       0
UnmappedFraction                0
#Mapped                         828580
MappedFraction                  1
#MappedRead1                    828580
#MappedRead2                    0
RatioMapped2vsMapped1           0
#MappedForward                  414050
MappedForwardFraction           0.49971
#MappedReverse                  414530
MappedReverseFraction           0.50029
#SecondaryAlignments            0
SecondaryAlignmentFraction      0
#SupplementaryAlignments        0
SupplementaryAlignmentFraction  0
#SplicedAlignments              0
SplicedAlignmentFraction        0
#Pairs                          0
#MappedPairs                    0
MappedPairsFraction             0
#MappedSameChr                  0
MappedSameChrFraction           0
#MappedProperPair               0
MappedProperFraction            0
#ReferenceBp                    6504659
#ReferenceNs                    0
#AlignedBases                   61615838
#MatchedBases                   60755082
MatchRate                       0.98603
#MismatchedBases                860756
MismatchRate                    0.0139697
#DeletionsCigarD                14153
DeletionRate                    0.000229697
HomopolymerContextDel           0.244895
#InsertionsCigarI               10709
InsertionRate                   0.000173803
HomopolymerContextIns           0.171911
#SoftClippedBases               0
SoftClipRate                    0
#HardClippedBases               0
HardClipRate                    0
ErrorRate                       0.0143732
MedianReadLength                76
DefaultLibraryLayout            0
MedianInsertSize                0
MedianCoverage                  5
SDCoverage                      67.181
CoveredBp                       6083973
FractionCovered                 0.935325
BpCov1ToCovNRatio               0.0881002
BpCov1ToCov2Ratio               0.76494
MedianMAPQ                      42
