Sample                          mapping_N2_result_coli_sorted
Library                         DefaultLib
#QCFail                         0
QCFailFraction                  0
#DuplicateMarked                0
DuplicateFraction               0
#Unmapped                       0
UnmappedFraction                0
#Mapped                         21727744
MappedFraction                  1
#MappedRead1                    21727744
#MappedRead2                    0
RatioMapped2vsMapped1           0
#MappedForward                  10863675
MappedForwardFraction           0.499991
#MappedReverse                  10864069
MappedReverseFraction           0.500009
#SecondaryAlignments            0
SecondaryAlignmentFraction      0
#SupplementaryAlignments        0
SupplementaryAlignmentFraction  0
#SplicedAlignments              0
SplicedAlignmentFraction        0
#Pairs                          0
#MappedPairs                    0
MappedPairsFraction             0
#MappedSameChr                  0
MappedSameChrFraction           0
#MappedProperPair               0
MappedProperFraction            0
#ReferenceBp                    4641652
#ReferenceNs                    0
#AlignedBases                   1618695471
#MatchedBases                   1616541495
MatchRate                       0.998669
#MismatchedBases                2153976
MismatchRate                    0.00133069
#DeletionsCigarD                51176
DeletionRate                    3.16156e-05
HomopolymerContextDel           0.253224
#InsertionsCigarI               264179
InsertionRate                   0.000163205
HomopolymerContextIns           0.670008
#SoftClippedBases               0
SoftClipRate                    0
#HardClippedBases               0
HardClipRate                    0
ErrorRate                       0.00152551
MedianReadLength                76
DefaultLibraryLayout            0
MedianInsertSize                0
MedianCoverage                  329
SDCoverage                      28.5296
CoveredBp                       4637314
FractionCovered                 0.999065
BpCov1ToCovNRatio               1.50949e-06
BpCov1ToCov2Ratio               2.33333
MedianMAPQ                      42
