Sample                          mapping_N2_result_subtilis_sorted
Library                         DefaultLib
#QCFail                         0
QCFailFraction                  0
#DuplicateMarked                0
DuplicateFraction               0
#Unmapped                       0
UnmappedFraction                0
#Mapped                         10053884
MappedFraction                  1
#MappedRead1                    10053884
#MappedRead2                    0
RatioMapped2vsMapped1           0
#MappedForward                  5025668
MappedForwardFraction           0.499873
#MappedReverse                  5028216
MappedReverseFraction           0.500127
#SecondaryAlignments            0
SecondaryAlignmentFraction      0
#SupplementaryAlignments        0
SupplementaryAlignmentFraction  0
#SplicedAlignments              0
SplicedAlignmentFraction        0
#Pairs                          0
#MappedPairs                    0
MappedPairsFraction             0
#MappedSameChr                  0
MappedSameChrFraction           0
#MappedProperPair               0
MappedProperFraction            0
#ReferenceBp                    4215606
#ReferenceNs                    0
#AlignedBases                   748028102
#MatchedBases                   747003309
MatchRate                       0.99863
#MismatchedBases                1024793
MismatchRate                    0.00136999
#DeletionsCigarD                27318
DeletionRate                    3.652e-05
HomopolymerContextDel           0.362801
#InsertionsCigarI               191578
InsertionRate                   0.000256111
HomopolymerContextIns           0.796438
#SoftClippedBases               0
SoftClipRate                    0
#HardClippedBases               0
HardClipRate                    0
ErrorRate                       0.00166262
MedianReadLength                76
DefaultLibraryLayout            0
MedianInsertSize                0
MedianCoverage                  161
SDCoverage                      28.8343
CoveredBp                       4082468
FractionCovered                 0.968418
BpCov1ToCovNRatio               5.78082e-05
BpCov1ToCov2Ratio               2.26923
MedianMAPQ                      42
