Sample                          mapping_N1_result_subtilis_sorted
Library                         DefaultLib
#QCFail                         0
QCFailFraction                  0
#DuplicateMarked                0
DuplicateFraction               0
#Unmapped                       0
UnmappedFraction                0
#Mapped                         6728468
MappedFraction                  1
#MappedRead1                    4435550
#MappedRead2                    2292918
RatioMapped2vsMapped1           0.516941
#MappedForward                  3398763
MappedForwardFraction           0.505132
#MappedReverse                  3329705
MappedReverseFraction           0.494868
#SecondaryAlignments            0
SecondaryAlignmentFraction      0
#SupplementaryAlignments        0
SupplementaryAlignmentFraction  0
#SplicedAlignments              0
SplicedAlignmentFraction        0
#Pairs                          2430106
#MappedPairs                    2092376
MappedPairsFraction             0.861023
#MappedSameChr                  2092376
MappedSameChrFraction           0.861023
#MappedProperPair               929633
MappedProperFraction            0.382548
#ReferenceBp                    4215606
#ReferenceNs                    0
#AlignedBases                   277863837
#MatchedBases                   276331841
MatchRate                       0.994487
#MismatchedBases                1531996
MismatchRate                    0.00551348
#DeletionsCigarD                182294
DeletionRate                    0.000656055
HomopolymerContextDel           0.080244
#InsertionsCigarI               589558
InsertionRate                   0.00212175
HomopolymerContextIns           0.90049
#SoftClippedBases               8232950
SoftClipRate                    0.0296294
#HardClippedBases               0
HardClipRate                    0
ErrorRate                       0.0379207
MedianReadLength                61:70
DefaultLibraryLayout            2
MedianInsertSize                66
MedianCoverage                  9
SDCoverage                      225.153
CoveredBp                       4073522
FractionCovered                 0.966296
BpCov1ToCovNRatio               0.00888838
BpCov1ToCov2Ratio               0.394816
MedianMAPQ                      24
