Sample                          mapping_N1_result_PAE_sorted
Library                         DefaultLib
#QCFail                         0
QCFailFraction                  0
#DuplicateMarked                0
DuplicateFraction               0
#Unmapped                       0
UnmappedFraction                0
#Mapped                         461983
MappedFraction                  1
#MappedRead1                    259779
#MappedRead2                    202204
RatioMapped2vsMapped1           0.778369
#MappedForward                  231170
MappedForwardFraction           0.500386
#MappedReverse                  230813
MappedReverseFraction           0.499614
#SecondaryAlignments            0
SecondaryAlignmentFraction      0
#SupplementaryAlignments        0
SupplementaryAlignmentFraction  0
#SplicedAlignments              0
SplicedAlignmentFraction        0
#Pairs                          203210
#MappedPairs                    200895
MappedPairsFraction             0.988608
#MappedSameChr                  200895
MappedSameChrFraction           0.988608
#MappedProperPair               143947
MappedProperFraction            0.708366
#ReferenceBp                    6504659
#ReferenceNs                    0
#AlignedBases                   33127173
#MatchedBases                   33068774
MatchRate                       0.998237
#MismatchedBases                58399
MismatchRate                    0.00176287
#DeletionsCigarD                2090
DeletionRate                    6.30902e-05
HomopolymerContextDel           0.17512
#InsertionsCigarI               9543
InsertionRate                   0.000288072
HomopolymerContextIns           0.361102
#SoftClippedBases               68953
SoftClipRate                    0.00208146
#HardClippedBases               0
HardClipRate                    0
ErrorRate                       0.0041955
MedianReadLength                76:76
DefaultLibraryLayout            2
MedianInsertSize                419
MedianCoverage                  4
SDCoverage                      7.21992
CoveredBp                       6202267
FractionCovered                 0.953511
BpCov1ToCovNRatio               0.0682349
BpCov1ToCov2Ratio               0.574386
MedianMAPQ                      44
