Sample                          mapping_N1_result_coli_sorted
Library                         DefaultLib
#QCFail                         0
QCFailFraction                  0
#DuplicateMarked                0
DuplicateFraction               0
#Unmapped                       0
UnmappedFraction                0
#Mapped                         469831
MappedFraction                  1
#MappedRead1                    271148
#MappedRead2                    198683
RatioMapped2vsMapped1           0.732747
#MappedForward                  234758
MappedForwardFraction           0.499665
#MappedReverse                  235073
MappedReverseFraction           0.500335
#SecondaryAlignments            0
SecondaryAlignmentFraction      0
#SupplementaryAlignments        0
SupplementaryAlignmentFraction  0
#SplicedAlignments              0
SplicedAlignmentFraction        0
#Pairs                          199874
#MappedPairs                    196385
MappedPairsFraction             0.982544
#MappedSameChr                  196385
MappedSameChrFraction           0.982544
#MappedProperPair               132735
MappedProperFraction            0.664093
#ReferenceBp                    4641652
#ReferenceNs                    0
#AlignedBases                   30649802
#MatchedBases                   30595605
MatchRate                       0.998232
#MismatchedBases                54197
MismatchRate                    0.00176827
#DeletionsCigarD                1554
DeletionRate                    5.07018e-05
HomopolymerContextDel           0.184685
#InsertionsCigarI               12186
InsertionRate                   0.000397588
HomopolymerContextIns           0.652798
#SoftClippedBases               167017
SoftClipRate                    0.0054492
#HardClippedBases               0
HardClipRate                    0
ErrorRate                       0.00766576
MedianReadLength                75:76
DefaultLibraryLayout            2
MedianInsertSize                409
MedianCoverage                  5
SDCoverage                      215.678
CoveredBp                       4560880
FractionCovered                 0.982598
BpCov1ToCovNRatio               0.0551363
BpCov1ToCov2Ratio               0.566314
MedianMAPQ                      44
