Sample                          mapping_N4_result_coli_sorted
Library                         DefaultLib
#QCFail                         0
QCFailFraction                  0
#DuplicateMarked                0
DuplicateFraction               0
#Unmapped                       0
UnmappedFraction                0
#Mapped                         19148140
MappedFraction                  1
#MappedRead1                    19148140
#MappedRead2                    0
RatioMapped2vsMapped1           0
#MappedForward                  9571507
MappedForwardFraction           0.499866
#MappedReverse                  9576633
MappedReverseFraction           0.500134
#SecondaryAlignments            0
SecondaryAlignmentFraction      0
#SupplementaryAlignments        0
SupplementaryAlignmentFraction  0
#SplicedAlignments              0
SplicedAlignmentFraction        0
#Pairs                          0
#MappedPairs                    0
MappedPairsFraction             0
#MappedSameChr                  0
MappedSameChrFraction           0
#MappedProperPair               0
MappedProperFraction            0
#ReferenceBp                    4641652
#ReferenceNs                    0
#AlignedBases                   1428826884
#MatchedBases                   1426954577
MatchRate                       0.99869
#MismatchedBases                1872307
MismatchRate                    0.00131038
#DeletionsCigarD                42982
DeletionRate                    3.0082e-05
HomopolymerContextDel           0.247452
#InsertionsCigarI               77829
InsertionRate                   5.44706e-05
HomopolymerContextIns           0.373987
#SoftClippedBases               0
SoftClipRate                    0
#HardClippedBases               0
HardClipRate                    0
ErrorRate                       0.00139493
MedianReadLength                76
DefaultLibraryLayout            0
MedianInsertSize                0
MedianCoverage                  275
SDCoverage                      34.1431
CoveredBp                       4637307
FractionCovered                 0.999064
BpCov1ToCovNRatio               0
BpCov1ToCov2Ratio               0
MedianMAPQ                      42
