Sample                          mapping_N1_result_kocuria_sorted
Library                         DefaultLib
#QCFail                         0
QCFailFraction                  0
#DuplicateMarked                0
DuplicateFraction               0
#Unmapped                       0
UnmappedFraction                0
#Mapped                         376375
MappedFraction                  1
#MappedRead1                    213513
#MappedRead2                    162862
RatioMapped2vsMapped1           0.762773
#MappedForward                  188273
MappedForwardFraction           0.500227
#MappedReverse                  188102
MappedReverseFraction           0.499773
#SecondaryAlignments            0
SecondaryAlignmentFraction      0
#SupplementaryAlignments        0
SupplementaryAlignmentFraction  0
#SplicedAlignments              0
SplicedAlignmentFraction        0
#Pairs                          163395
#MappedPairs                    161676
MappedPairsFraction             0.989479
#MappedSameChr                  161676
MappedSameChrFraction           0.989479
#MappedProperPair               115307
MappedProperFraction            0.705695
#ReferenceBp                    2696980
#ReferenceNs                    0
#AlignedBases                   26858093
#MatchedBases                   26813892
MatchRate                       0.998354
#MismatchedBases                44201
MismatchRate                    0.00164572
#DeletionsCigarD                1808
DeletionRate                    6.73168e-05
HomopolymerContextDel           0.243916
#InsertionsCigarI               9744
InsertionRate                   0.000362796
HomopolymerContextIns           0.519807
#SoftClippedBases               61514
SoftClipRate                    0.00229033
#HardClippedBases               0
HardClipRate                    0
ErrorRate                       0.00436617
MedianReadLength                76:76
DefaultLibraryLayout            2
MedianInsertSize                418
MedianCoverage                  9
SDCoverage                      12.84
CoveredBp                       2691193
FractionCovered                 0.997854
BpCov1ToCovNRatio               0.00908482
BpCov1ToCov2Ratio               0.397726
MedianMAPQ                      44
