Sample                          mapping_N4_result_kocuria_sorted
Library                         DefaultLib
#QCFail                         0
QCFailFraction                  0
#DuplicateMarked                0
DuplicateFraction               0
#Unmapped                       0
UnmappedFraction                0
#Mapped                         283845
MappedFraction                  1
#MappedRead1                    182740
#MappedRead2                    101105
RatioMapped2vsMapped1           0.553272
#MappedForward                  140475
MappedForwardFraction           0.4949
#MappedReverse                  143370
MappedReverseFraction           0.5051
#SecondaryAlignments            0
SecondaryAlignmentFraction      0
#SupplementaryAlignments        0
SupplementaryAlignmentFraction  0
#SplicedAlignments              0
SplicedAlignmentFraction        0
#Pairs                          134944
#MappedPairs                    98647
MappedPairsFraction             0.731022
#MappedSameChr                  98647
MappedSameChrFraction           0.731022
#MappedProperPair               82671
MappedProperFraction            0.612632
#ReferenceBp                    2696980
#ReferenceNs                    0
#AlignedBases                   19110148
#MatchedBases                   18298351
MatchRate                       0.95752
#MismatchedBases                811797
MismatchRate                    0.0424799
#DeletionsCigarD                17211
DeletionRate                    0.000900621
HomopolymerContextDel           0.0689675
#InsertionsCigarI               12270
InsertionRate                   0.000642067
HomopolymerContextIns           0.0469438
#SoftClippedBases               173566
SoftClipRate                    0.0090824
#HardClippedBases               0
HardClipRate                    0
ErrorRate                       0.053105
MedianReadLength                76:76
DefaultLibraryLayout            2
MedianInsertSize                394
MedianCoverage                  2
SDCoverage                      161.783
CoveredBp                       2276609
FractionCovered                 0.844133
BpCov1ToCovNRatio               0.281628
BpCov1ToCov2Ratio               1.14669
MedianMAPQ                      1
