Sample                          mapping_N6_result_PAE_sorted
Library                         DefaultLib
#QCFail                         0
QCFailFraction                  0
#DuplicateMarked                0
DuplicateFraction               0
#Unmapped                       0
UnmappedFraction                0
#Mapped                         46278712
MappedFraction                  1
#MappedRead1                    46278712
#MappedRead2                    0
RatioMapped2vsMapped1           0
#MappedForward                  23137467
MappedForwardFraction           0.499959
#MappedReverse                  23141245
MappedReverseFraction           0.500041
#SecondaryAlignments            0
SecondaryAlignmentFraction      0
#SupplementaryAlignments        0
SupplementaryAlignmentFraction  0
#SplicedAlignments              0
SplicedAlignmentFraction        0
#Pairs                          0
#MappedPairs                    0
MappedPairsFraction             0
#MappedSameChr                  0
MappedSameChrFraction           0
#MappedProperPair               0
MappedProperFraction            0
#ReferenceBp                    6504659
#ReferenceNs                    0
#AlignedBases                   3437575382
#MatchedBases                   3433496307
MatchRate                       0.998813
#MismatchedBases                4079075
MismatchRate                    0.00118661
#DeletionsCigarD                86130
DeletionRate                    2.50555e-05
HomopolymerContextDel           0.218333
#InsertionsCigarI               189880
InsertionRate                   5.52366e-05
HomopolymerContextIns           0.430087
#SoftClippedBases               0
SoftClipRate                    0
#HardClippedBases               0
HardClipRate                    0
ErrorRate                       0.00126691
MedianReadLength                76
DefaultLibraryLayout            0
MedianInsertSize                0
MedianCoverage                  521
SDCoverage                      26.9876
CoveredBp                       6335465
FractionCovered                 0.973989
BpCov1ToCovNRatio               5.12985e-05
BpCov1ToCov2Ratio               1.90058
MedianMAPQ                      42
