Sample                          mapping_N2_result_kocuria_sorted
Library                         DefaultLib
#QCFail                         0
QCFailFraction                  0
#DuplicateMarked                0
DuplicateFraction               0
#Unmapped                       0
UnmappedFraction                0
#Mapped                         33819586
MappedFraction                  1
#MappedRead1                    17789632
#MappedRead2                    16029954
RatioMapped2vsMapped1           0.901084
#MappedForward                  16917847
MappedForwardFraction           0.500238
#MappedReverse                  16901739
MappedReverseFraction           0.499762
#SecondaryAlignments            0
SecondaryAlignmentFraction      0
#SupplementaryAlignments        0
SupplementaryAlignmentFraction  0
#SplicedAlignments              0
SplicedAlignmentFraction        0
#Pairs                          16091863
#MappedPairs                    16000806
MappedPairsFraction             0.994341
#MappedSameChr                  16000806
MappedSameChrFraction           0.994341
#MappedProperPair               11967907
MappedProperFraction            0.743724
#ReferenceBp                    2696980
#ReferenceNs                    0
#AlignedBases                   2470462405
#MatchedBases                   2468051257
MatchRate                       0.999024
#MismatchedBases                2411148
MismatchRate                    0.000975991
#DeletionsCigarD                70431
DeletionRate                    2.85092e-05
HomopolymerContextDel           0.312277
#InsertionsCigarI               656403
InsertionRate                   0.0002657
HomopolymerContextIns           0.416065
#SoftClippedBases               1605680
SoftClipRate                    0.000649951
#HardClippedBases               0
HardClipRate                    0
ErrorRate                       0.00192015
MedianReadLength                76:76
DefaultLibraryLayout            2
MedianInsertSize                422
MedianCoverage                  844
SDCoverage                      74.3559
CoveredBp                       2696980
FractionCovered                 1
BpCov1ToCovNRatio               0
BpCov1ToCov2Ratio               0
MedianMAPQ                      44
