Sample                          mapping_N4_result_subtilis_sorted
Library                         DefaultLib
#QCFail                         0
QCFailFraction                  0
#DuplicateMarked                0
DuplicateFraction               0
#Unmapped                       0
UnmappedFraction                0
#Mapped                         105264187
MappedFraction                  1
#MappedRead1                    105264187
#MappedRead2                    0
RatioMapped2vsMapped1           0
#MappedForward                  52633026
MappedForwardFraction           0.500009
#MappedReverse                  52631161
MappedReverseFraction           0.499991
#SecondaryAlignments            0
SecondaryAlignmentFraction      0
#SupplementaryAlignments        0
SupplementaryAlignmentFraction  0
#SplicedAlignments              0
SplicedAlignmentFraction        0
#Pairs                          0
#MappedPairs                    0
MappedPairsFraction             0
#MappedSameChr                  0
MappedSameChrFraction           0
#MappedProperPair               0
MappedProperFraction            0
#ReferenceBp                    4215606
#ReferenceNs                    0
#AlignedBases                   7850195273
#MatchedBases                   7841655354
MatchRate                       0.998912
#MismatchedBases                8539919
MismatchRate                    0.00108786
#DeletionsCigarD                244997
DeletionRate                    3.1209e-05
HomopolymerContextDel           0.381576
#InsertionsCigarI               495399
InsertionRate                   6.31066e-05
HomopolymerContextIns           0.510887
#SoftClippedBases               0
SoftClipRate                    0
#HardClippedBases               0
HardClipRate                    0
ErrorRate                       0.00118218
MedianReadLength                76
DefaultLibraryLayout            0
MedianInsertSize                0
MedianCoverage                  1819
SDCoverage                      67.4328
CoveredBp                       4083571
FractionCovered                 0.968679
BpCov1ToCovNRatio               0.000112647
BpCov1ToCov2Ratio               1.57534
MedianMAPQ                      42
